winning_digit,losing_digit,frequency
0,0,20
0,1,28
0,2,21
0,3,26
0,4,31
0,5,20
0,6,21
0,7,27
0,8,33
0,9,28
1,0,22
1,1,20
1,2,19
1,3,15
1,4,28
1,5,19
1,6,31
1,7,25
1,8,33
1,9,33
2,0,45
2,1,22
2,2,21
2,3,21
2,4,23
2,5,23
2,6,26
2,7,20
2,8,43
2,9,31
3,0,27
3,1,40
3,2,30
3,3,23
3,4,21
3,5,23
3,6,23
3,7,22
3,8,21
3,9,34
4,0,19
4,1,45
4,2,26
4,3,29
4,4,21
4,5,17
4,6,23
4,7,17
4,8,19
4,9,33
5,0,37
5,1,26
5,2,39
5,3,39
5,4,30
5,5,16
5,6,25
5,7,27
5,8,29
5,9,26
6,0,24
6,1,20
6,2,26
6,3,38
6,4,33
6,5,31
6,6,17
6,7,18
6,8,24
6,9,15
7,0,25
7,1,23
7,2,23
7,3,39
7,4,32
7,5,29
7,6,24
7,7,12
7,8,23
7,9,23
8,0,15
8,1,27
8,2,23
8,3,31
8,4,22
8,5,35
8,6,33
8,7,24
8,8,24
8,9,22
9,0,19
9,1,21
9,2,21
9,3,19
9,4,19
9,5,37
9,6,26
9,7,37
9,8,34
9,9,15
